url_path,views_total,views_unique
/SuperDuperDB/superduperdb,1156,563
/SuperDuperDB/superduperdb/pulls,377,29
/SuperDuperDB/superduperdb/issues,275,43
/SuperDuperDB/superduperdb/blob/main/README_zh.md,223,86
/SuperDuperDB/superduperdb/tree/main/superduperdb,177,27
/SuperDuperDB/superduperdb/tree/main/examples,117,30
/SuperDuperDB/superduperdb/blob/main/examples/chat_with_your_database.ipynb,84,20
/SuperDuperDB/superduperdb/tree/main/superduperdb/backends,81,10
/SuperDuperDB/superduperdb/commits/main/CHANGELOG.md,75,1
/SuperDuperDB/superduperdb/blob/main/CONTRIBUTING.md,64,7
