time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-15 00:00:00+00:00,39,12,785,79
2024-04-16 00:00:00+00:00,66,18,576,87
2024-04-17 00:00:00+00:00,57,15,593,101
2024-04-18 00:00:00+00:00,29,16,442,84
2024-04-19 00:00:00+00:00,14,10,514,91
2024-04-20 00:00:00+00:00,17,11,129,46
2024-04-21 00:00:00+00:00,32,13,121,49
2024-04-22 00:00:00+00:00,46,19,642,87
2024-04-23 00:00:00+00:00,26,15,627,93
2024-04-24 00:00:00+00:00,28,15,348,86
2024-04-25 00:00:00+00:00,78,27,477,79
2024-04-26 00:00:00+00:00,57,23,494,71
2024-04-27 00:00:00+00:00,16,11,107,37
2024-04-28 00:00:00+00:00,24,17,220,51
